<150>Jan 28 08:10:01 servernameabc httpd[12345]: 10.0.240.52 0.1.0.1 35786 abc.example.net - - [28/Jan/2026:08:10:01 +0530] "GET /leave/appResources/images/lerf_default.png HTTP/1.1" 503 - 4468 "https://abc.example.com/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
<150>Jan 28 08:10:01 servernameabc httpd[12345]: 10.91.94.182 0.1.0.1 81525 abc.example.net - - [28/Jan/2026:08:10:01 +0530] "GET /leave/appResources/css/Custom_font-awesome.css HTTP/1.1" 200 7895 10 "https://abc.example.com/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
<150>Jan 28 08:10:02 servernameabc httpd[12345]: 10.151.91.182 0.1.0.1 70055 abc.example.net - - [28/Jan/2026:08:10:02 +0530] "POST /leaverest/rest/lwpBatch HTTP/1.1" 200 2389 42 "https://abc.example.com/index.html" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
<150>Jan 28 08:10:02 servernameabc httpd[12345]: 10.236.14.117 0.1.0.1 22309 abc.example.net - - [28/Jan/2026:08:10:02 +0530] "GET /favicon.ico HTTP/1.1" 200 3822 33 "https://abc.example.com/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
<150>Jan 28 08:10:03 servernameabc httpd[12345]: 10.199.43.68 0.1.0.1 54459 abc.example.net - - [28/Jan/2026:08:10:03 +0530] "GET /leave/appResources/images/lerf_default.png HTTP/1.1" 204 - 3405 "https://abc.example.com/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
<150>Jan 28 08:10:04 servernameabc httpd[12345]: 10.97.81.249 0.1.0.1 47088 abc.example.net - - [28/Jan/2026:08:10:04 +0530] "GET /favicon.ico HTTP/1.1" 200 7890 6 "https://abc.example.com/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
<150>Jan 28 08:10:05 servernameabc httpd[12345]: 10.13.71.172 0.1.0.1 87591 abc.example.net - - [28/Jan/2026:08:10:05 +0530] "POST /RightsWeb/myrights/rest/getNewCardBranch HTTP/1.1" 503 - 1466 "https://abc.example.com/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0"
<150>Jan 28 08:10:07 servernameabc httpd[12345]: 10.7.14.148 0.1.0.1 52591 abc.example.net - - [28/Jan/2026:08:10:07 +0530] "GET /timesheet/resources/lib/js/json2.js HTTP/1.1" 200 2859 15 "https://abc.example.com/index.html" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
<150>Jan 28 08:10:07 servernameabc httpd[12345]: 10.172.87.220 0.1.0.1 58091 abc.example.net - - [28/Jan/2026:08:10:07 +0530] "POST /leaverest/rest/lwpBatch HTTP/1.1" 200 679 41 "https://abc.example.com/index.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1"
<150>Jan 28 08:10:09 servernameabc httpd[12345]: 10.192.140.159 0.1.0.1 39570 abc.example.net - - [28/Jan/2026:08:10:09 +0530] "GET /leave/appResources/images/lerf_default.png HTTP/1.1" 200 860 14 "https://abc.example.com/index.html" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36"
